Asset Name,OS,huntress,microsoft-ad
ccesql,b'SLES', ,microsoft-ad
desktop-kin843o,b'Windows 11 Pro',huntress,microsoft-ad
desktop-mkc7cmh,b'Windows 10 Pro',huntress,microsoft-ad
icu-adconn01,b'Windows Server 2012 R2 Standard',huntress,microsoft-ad
icu-basha,b'Windows 7 Professional',huntress,microsoft-ad
icu-cr01,b'Windows Server 2008 R2 Standard',huntress,microsoft-ad
icu-dt02,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt03,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt04,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt06,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt08,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt10,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt11,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt12,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt13,b'Windows 10 Pro',huntress,microsoft-ad
icu-dt14,b'Windows 10 Pro',huntress,microsoft-ad
icu-exch2010,b'Windows Server 2008 R2 Standard',huntress,microsoft-ad
icu-fpdc06,b'Windows Server 2008 R2 Standard',huntress,microsoft-ad
icu-hdc07,b'Windows Server 2008 R2 Standard',huntress,microsoft-ad
icu-lt05,b'Windows 10 Pro',huntress,microsoft-ad
icu-lt06,b'Windows 10 Pro', ,microsoft-ad
icu-rds01,b'Windows Server 2008 R2 Standard',huntress,microsoft-ad
icu_andre,b'Windows 10 Pro',huntress,microsoft-ad
zoom-13,b'Windows 10 Pro',huntress,microsoft-ad
zoomdev,b'Windows Server 2003', ,microsoft-ad
zoomhja01,b'Windows Server 2003', ,microsoft-ad
zoomhjsql,b'Windows Server 2003', ,microsoft-ad
zoomsql,b'Windows Server 2008 R2 Standard',huntress,microsoft-ad
