Asset Name,OS,cybercns-sec-vm,huntress,kaseya-vsa,microsoft-ad,sentinelone
bluejay,b'Windows 10 Pro', , , ,microsoft-ad, 
concord,b'Windows Server 2016 Standard 14393',cybercns-sec-vm, , ,microsoft-ad,sentinelone
const1,b'Windows 10 Pro 19043',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
const2,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
const5,b'Windows 10 Pro 19041',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
desktop-d00c4pq,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
desktop-gvn9s1a,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
desktop-hu0g42q,b'Windows 10 Pro 19043',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
hp-ana,b'Windows 7 Professional  7601 SP1', ,huntress, ,microsoft-ad,sentinelone
jukichpc,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
kathyheld,b'Windows 7 Professional  7601 SP1', ,huntress, ,microsoft-ad,sentinelone
mce-8ltd0m2,b'Windows 10 Pro', , , ,microsoft-ad, 
mce-confroom,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
mce-payroll,b'Windows 10 Pro 19043',cybercns-sec-vm, , ,microsoft-ad,sentinelone
mce_const4,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
mce_jcore,b'Windows 10 Pro 19042',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
mcedc1,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
mcedc10,b'Windows Server 2016 Standard 14393', , , ,microsoft-ad,sentinelone
mcedc11,b'Windows Server 2016 Standard 14393', , , ,microsoft-ad,sentinelone
mcedst-dpn0ym2,b'Windows 11 Pro', , , ,microsoft-ad, 
mcedst-dv8p8n2,b'Windows 11 Pro 22621', ,huntress, ,microsoft-ad,sentinelone
mcedt-3k9jxm2,b'Windows 10 Pro', , , ,microsoft-ad, 
mcefs1,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress, ,microsoft-ad,sentinelone
raven,b'Windows 10 Pro', , , ,microsoft-ad, 
