Asset Name,OS,azure-ad,cb-cloud,huntress,microsoft-ad
desktop-5r16p3a,"b'Windows, 10.0.22621.1413'",azure-ad, , , 
desktop-e20j2u3,b'Windows 10 x64', ,cb-cloud,huntress, 
desktop-mcomd9h,"b'Windows, 10.0.19042.985'",azure-ad, , , 
r3-desktop-0686,b'Windows 8.1 x64', ,cb-cloud, , 
r3-desktop-0739,b'Windows 8.1 x64', ,cb-cloud, , 
r3-desktop-0768,"b'Windows, 10.0.17763.0'",azure-ad,cb-cloud,huntress, 
r3-desktop-0769,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-desktop-0771,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-desktop-0773,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-desktop-0774,b'Windows 10 Pro', , ,huntress, 
r3-desktop-0775,b'Windows 10 Pro',azure-ad, ,huntress, 
r3-desktop-0776,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-desktop-0777,b'Windows 10 Pro', , ,huntress, 
r3-desktop-0781,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-desktop-0782,"b'Windows, 10.0.19044.1682'",azure-ad,cb-cloud,huntress, 
r3-desktop-0791,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-desktop-1262,b'Windows 10 Pro',azure-ad, ,huntress, 
r3-desktop-1268,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-desktop-1276,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-desktop-1279,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-desktop-1280,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-desktop-1281,"b'Windows, 10.0.19044.1889'",azure-ad,cb-cloud, , 
r3-desktop-1283,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-desktop-1296,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-desktop-1297,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-0735,b'Windows 8.1 Pro', ,cb-cloud,huntress, 
r3-laptop-0778,b'Windows 10 Pro', , ,huntress, 
r3-laptop-0780,b'Windows 10 Pro', , ,huntress, 
r3-laptop-1244,b'Windows 8.1 x64', ,cb-cloud, , 
r3-laptop-1251,"b'Windows, 10.0.17134.0'",azure-ad, , , 
r3-laptop-1252,b'Windows 10 Pro', , ,huntress, 
r3-laptop-1253,"b'Windows, 10.0.19044.2486'",azure-ad,cb-cloud,huntress, 
r3-laptop-1254,b'Windows 10 Pro',azure-ad, ,huntress, 
r3-laptop-1264,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1265,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-laptop-1266,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-laptop-1267,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1269,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1270,b'Windows 11 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1272,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1273,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-laptop-1274,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-laptop-1275,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1278,b'Windows 10 Pro', , ,huntress, 
r3-laptop-1282,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1289,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1290,b'Windows 10 x64',azure-ad,cb-cloud,huntress, 
r3-laptop-1291,b'Windows 10 x64', ,cb-cloud,huntress, 
r3-laptop-1295,b'Windows 10 x64', ,cb-cloud,huntress, 
regdc02,b'Windows Server 2019 Standard', ,cb-cloud,huntress, 
